,course_title,Channel Title,Subscriber Count,Views,Likes,Comment Count,Language,Duration (Seconds),Theme,clean_course_title
3673,Critical Materials for Green Energy Technologies,EU Science Hub - Joint Research Centre,5650,8248,81,0,Unknown,236,Sustainable Energy Technologies and Solutions,Critical Materials Green Energy Technologies
3674,Why the US isn't ready for clean energy,Vox,11700000,2177277,55452,4320,en,411,Sustainable Energy Technologies and Solutions,ready clean energy
3675,The Biggest Lie About Renewable Energy,AsapSCIENCE,10500000,2472442,98872,22444,en,795,Sustainable Energy Technologies and Solutions,Biggest Lie Renewable Energy
3676,Renewable Energy Technology:🌿 Exploring Renewable Energy Technologies & Innovations,React 2 Training,82,71,4,1,Unknown,36,Sustainable Energy Technologies and Solutions,Renewable Energy Technology Exploring Renewable Energy Technologies  Innovations
3677,Meet the Technologists: Clean Energy Technologies as Solutions to Climate Change,CleanAirCoolPlanet,3,485,2,0,Unknown,5686,Sustainable Energy Technologies and Solutions,Meet Technologists Clean Energy Technologies Solutions Climate Change
3678,The Future of Sustainable Energy Technologies,Dal Faculty of Open Learning & Career Development,277,62,0,0,en,3474,Sustainable Energy Technologies and Solutions,Future Sustainable Energy Technologies
3679,Sustainable Energy Technology Week 1 Solution #nptel #assignment #nptel_answers,BEU GURU,219,315,2,4,Unknown,86,Sustainable Energy Technologies and Solutions,Sustainable Energy Technology Week 1 Solution nptel assignment nptelanswers
3680,Sustainable Energy,Intelligent Sustainable Solutions,18,86,1,0,en,232,Sustainable Energy Technologies and Solutions,Sustainable Energy
3681,Global renewables: Pioneering the energy transition | DW Documentary,DW Documentary,5250000,317637,5368,468,en,2546,Sustainable Energy Technologies and Solutions,Global renewables Pioneering energy transition  DW Documentary
3682,Sustainable Systems: A Life Cycle Analysis of Renewable Energy Technologies,Institution of Mechanical Engineers - IMechE,20200,1519,26,2,en,3408,Sustainable Energy Technologies and Solutions,Sustainable Systems Life Cycle Analysis Renewable Energy Technologies
3683,The Future Of Energy Storage Beyond Lithium Ion,CNBC,3270000,3924048,48860,3335,en,862,Sustainable Energy Technologies and Solutions,Future Energy Storage Lithium Ion
3684,Windstream Energy Technologies | 7kW Hybrid Energy Installed on Educational Building,Windstream Hybrid Renewable Solutions,106,219,3,0,en,19,Sustainable Energy Technologies and Solutions,Windstream Energy Technologies  7kW Hybrid Energy Installed Educational Building
3685,OptGrid: Optimizing Renewable Energy Technologies at the Grid Edge,National Renewable Energy Laboratory - NREL,10800,2169,35,0,en,209,Sustainable Energy Technologies and Solutions,OptGrid Optimizing Renewable Energy Technologies Grid Edge
3686,How AI Could Solve Our Renewable Energy Problem,Undecided with Matt Ferrell,1320000,237821,9742,361,en,945,Sustainable Energy Technologies and Solutions,AI Solve Renewable Energy Problem
3687,Sustainable Energy Technology Week 2 Quiz Answers Solution  | NPTEL 2023 | SWAYAM,Coding Solutions,10400,187,4,0,Unknown,81,Sustainable Energy Technologies and Solutions,Sustainable Energy Technology Week 2 Quiz Answers Solution  NPTEL 2023  SWAYAM
3688,Why renewables can’t save the planet | Michael Shellenberger | TEDxDanubia,TEDx Talks,39800000,5446367,127702,28561,en,1053,Sustainable Energy Technologies and Solutions,renewables cant save planet  Michael Shellenberger  TEDxDanubia
3689,💥WEEK 2💥🔥100%🔥💥Sustainable Energy Technology Assignment Answers💥,Sri Lectures,5660,438,8,7,Unknown,142,Sustainable Energy Technologies and Solutions,WEEK 2100Sustainable Energy Technology Assignment Answers
3690,Unleashing a Green Revolution: Clean Energy and Technology Solutions,Technocrafts,1150,31,0,0,en,48,Sustainable Energy Technologies and Solutions,Unleashing Green Revolution Clean Energy Technology Solutions
3691,IRENA Youth Talk: Youth Powering Sustainable Energy Technology,International Renewable Energy Agency,9330,448,9,0,en,5740,Sustainable Energy Technologies and Solutions,IRENA Youth Talk Youth Powering Sustainable Energy Technology
3692,"Elon Musk Revealed All New Solar Panels for 2024 Renewable Energy, Can blow your mind!",TESLA CAR WORLD,113000,1375878,11706,646,en,1788,Sustainable Energy Technologies and Solutions,Elon Musk Revealed New Solar Panels 2024 Renewable Energy blow mind
3693,The Potential of Clean Energy Technology,Tech Fads,12,7,4,0,Unknown,166,Sustainable Energy Technologies and Solutions,Potential Clean Energy Technology
3694,WindStream Energy Technologies | 10kW Hybrid (Wind + Solar) Installed at Mumbai Airport,Windstream Hybrid Renewable Solutions,106,94,2,0,en,15,Sustainable Energy Technologies and Solutions,WindStream Energy Technologies  10kW Hybrid Wind  Solar Installed Mumbai Airport
3695,What Is Green Hydrogen And Will It Power The Future?,CNBC,3270000,1231124,20682,2517,en,926,Sustainable Energy Technologies and Solutions,Green Hydrogen Power Future
3696,Sustainable Energy Technology Week 3 Quiz Answers Solution | NPTEL 2023 | SWAYAM,Coding Solutions,10400,449,6,4,Unknown,93,Sustainable Energy Technologies and Solutions,Sustainable Energy Technology Week 3 Quiz Answers Solution  NPTEL 2023  SWAYAM
3697,Professor Shaobin Wang | Nano technology + green energy solutions,Curtin University,31100,1256,9,1,en,106,Sustainable Energy Technologies and Solutions,Professor Shaobin Wang  Nano technology  green energy solutions
3698,How green is solar energy really?,DW Planet A,539000,571362,12493,1558,en,543,Sustainable Energy Technologies and Solutions,green solar energy really
3699,Sustainable Energy: The innovative designs transforming the world,CNBC International TV,357000,963,13,0,en,1471,Sustainable Energy Technologies and Solutions,Sustainable Energy innovative designs transforming world
3700,Securing Critical Infrastructure from Cyber Attacks,mitrecorp,14300,1521,12,0,en,89,Cybersecurity for Critical Infrastructure,Securing Critical Infrastructure Cyber Attacks
3701,Critical digital infrastructure: Why societies are becoming so vulnerable to cyberattacks |Techtopia,DW News,4900000,67879,924,86,en,1132,Cybersecurity for Critical Infrastructure,Critical digital infrastructure societies vulnerable cyberattacks Techtopia
3702,Cisco Insights 13: Cybersecurity in the Digital Transformation of Critical Infrastructure,Cisco,333000,1104,29,0,Unknown,551,Cybersecurity for Critical Infrastructure,Cisco Insights 13 Cybersecurity Digital Transformation Critical Infrastructure
3703,What is critical infrastructure?,Critical Infrastructure Resilience Institute,173,7816,57,1,Unknown,70,Cybersecurity for Critical Infrastructure,critical infrastructure
3704,Cyber security is critical for critical infrastructure,ABB Energy Industries,1730,577,10,1,Unknown,198,Cybersecurity for Critical Infrastructure,Cyber security critical critical infrastructure
3705,Critical Infrastructure In simple and understandable language,study with chanchal,100000,6092,134,6,Unknown,565,Cybersecurity for Critical Infrastructure,Critical Infrastructure simple understandable language
3706,Effects of Cyber Attacks on Critical Infrastructure,HDIAC,2200,7813,69,0,en,217,Cybersecurity for Critical Infrastructure,Effects Cyber Attacks Critical Infrastructure
3707,Protecting Critical Infrastructure: The New National Cybersecurity Strategy,Intelligence & National Security Alliance,1630,311,4,0,Unknown,5300,Cybersecurity for Critical Infrastructure,Protecting Critical Infrastructure New National Cybersecurity Strategy
3708,ranian Hackers Targeted US Critical Infrastructure,CIP Cyber,92200,265,13,0,en,44,Cybersecurity for Critical Infrastructure,ranian Hackers Targeted Critical Infrastructure
3709,Cybersecurity in critical infrastructure,Advenica,126,501,1,0,Unknown,55,Cybersecurity for Critical Infrastructure,Cybersecurity critical infrastructure
3710,🔴 How to Gain Critical Infrastructure Cybersecurity Skills,"Gerald Auger, PhD - Simply Cyber",96600,1033,90,4,en,4176,Cybersecurity for Critical Infrastructure, Gain Critical Infrastructure Cybersecurity Skills
3711,Protecting critical infrastructure from cyber threats,Government Matters,12200,776,8,1,en,379,Cybersecurity for Critical Infrastructure,Protecting critical infrastructure cyber threats
3712,Cybersecurity: Hackers threaten critical infrastructure,DW Shift,49800,1227,34,3,en,752,Cybersecurity for Critical Infrastructure,Cybersecurity Hackers threaten critical infrastructure
3713,Cybersecurity for Critical Infrastructure: American and European Perspectives,Center for Strategic & International Studies,282000,2643,48,0,en,3555,Cybersecurity for Critical Infrastructure,Cybersecurity Critical Infrastructure American European Perspectives
3714,Critical Infrastructure Cybersecurity Updates – September 2023,CIP Cyber,92200,390,19,2,en,249,Cybersecurity for Critical Infrastructure,Critical Infrastructure Cybersecurity Updates  September 2023
3715,Cyber-Informed Engineering: The Bridge Between Cybersecurity and Critical Infrastructure,U.S. Department of Energy,64100,544,11,0,en,186,Cybersecurity for Critical Infrastructure,CyberInformed Engineering Bridge Cybersecurity Critical Infrastructure
3716,Cybersecurity for Critical Urban Infrastructure Review,Hardly Adequate,132,83,3,0,Unknown,1355,Cybersecurity for Critical Infrastructure,Cybersecurity Critical Urban Infrastructure Review
3717,CYBERSECURITY: Securing Critical Infrastructure,Realcomm,1450,298,0,0,en,1976,Cybersecurity for Critical Infrastructure,CYBERSECURITY Securing Critical Infrastructure
3718,Cybersecurity Summit 2021: Australian Cyber and Critical Infrastructure,CISA,17300,1404,21,0,en,574,Cybersecurity for Critical Infrastructure,Cybersecurity Summit 2021 Australian Cyber Critical Infrastructure
3719,Amp Up Your Career:  Careers in Energy and Critical Infrastructure Cybersecurity,SANS Institute,53900,640,34,2,en,1350,Cybersecurity for Critical Infrastructure,Amp Career Careers Energy Critical Infrastructure Cybersecurity
3720,Critical Infrastructure||Factors of critical Infrastructure||Critical information infrastructure||,Study For Dreams 23,2670,1031,35,0,en,656,Cybersecurity for Critical Infrastructure,Critical InfrastructureFactors critical InfrastructureCritical information infrastructure
3721,The Convergence of IT and Operational Technology: Cyber risks to critical infrastructure on the rise,Microsoft Security,37900,676,6,0,en,1625,Cybersecurity for Critical Infrastructure,Convergence Operational Technology Cyber risks critical infrastructure rise
3722,CIP Cyber - Critical Infrastructure Protection Cybersecurity,CIP Cyber,92200,22151,83,3,en,144,Cybersecurity for Critical Infrastructure,CIP Cyber  Critical Infrastructure Protection Cybersecurity
3723,What is ‘Critical Information Infrastructure’? | Forum IAS | News Simplified |,ForumIAS Official,325000,2892,89,3,en,260,Cybersecurity for Critical Infrastructure,Critical Information Infrastructure  Forum IAS  News Simplified 
3724,ESET Cybersecurity tips & tricks: Critical infrastructure attacks,ESET,24000,1016,19,0,en,195,Cybersecurity for Critical Infrastructure,ESET Cybersecurity tips  tricks Critical infrastructure attacks
3725,Cyber Security in Critical Infrastructure | Featured News | 22nd November | UPSC CSE Preparation,Edukemy,121000,916,34,2,en,961,Cybersecurity for Critical Infrastructure,Cyber Security Critical Infrastructure  Featured News  22nd November  UPSC CSE Preparation
3726,Public-Private Partnership and Cybersecurity for Critical Infrastructure,MIT Center for International Studies,16200,387,12,0,en,5294,Cybersecurity for Critical Infrastructure,PublicPrivate Partnership Cybersecurity Critical Infrastructure
3727,Cyber Security and Critical Infrastructure,MIT Corporate Relations,8510,6211,54,0,Unknown,803,Cybersecurity for Critical Infrastructure,Cyber Security Critical Infrastructure
3728,Critical Infrastructure Cybersecurity Story,Pacific Northwest National Laboratory,16100,1304,3,0,en,34,Cybersecurity for Critical Infrastructure,Critical Infrastructure Cybersecurity Story
3729,Cyber-Protecting Critical Infrastructure,RSA Conference,88200,3574,44,0,en,864,Cybersecurity for Critical Infrastructure,CyberProtecting Critical Infrastructure
3730,Cyberattacks on Critical Infrastructure: Start Preparing Now,The Digital Prepper,3230,571,44,18,en,519,Cybersecurity for Critical Infrastructure,Cyberattacks Critical Infrastructure Start Preparing
3731,"Vantage IQ, AI-Powered Cybersecurity for Critical Infrastructure",Nozomi Networks,1410,338,5,3,en,344,Cybersecurity for Critical Infrastructure,Vantage IQ AIPowered Cybersecurity Critical Infrastructure
3732,Cyber Security for Critical Infrastructure: Strengthening Confidence Building in the OSCE,The Organization for Security and Co-operation in Europe (OSCE),9040,584,2,0,en,4689,Cybersecurity for Critical Infrastructure,Cyber Security Critical Infrastructure Strengthening Confidence Building OSCE
3733,Critical Infrastructure Cybersecurity Updates – July 2023,CIP Cyber,92200,486,14,0,en,361,Cybersecurity for Critical Infrastructure,Critical Infrastructure Cybersecurity Updates  July 2023
3734,Critical Insights: Cybersecurity of Critical Infrastructure,Archer,1020,65,4,0,en,619,Cybersecurity for Critical Infrastructure,Critical Insights Cybersecurity Critical Infrastructure
3735,Protect critical infrastructure networks from cyber attacks,Siemens Knowledge Hub,311000,1222,19,0,en,149,Cybersecurity for Critical Infrastructure,Protect critical infrastructure networks cyber attacks
3736,Critical Infrastructure Cybersecurity Updates – August 2023,CIP Cyber,92200,386,19,1,en,288,Cybersecurity for Critical Infrastructure,Critical Infrastructure Cybersecurity Updates  August 2023
3737,#94 - Cybersecurity in the water and wastewater critical infrastructure,Archer,1020,90,9,0,en,151,Cybersecurity for Critical Infrastructure,94  Cybersecurity water wastewater critical infrastructure
3738,Canada's critical infrastructure vulnerable to cyberattacks: report,Global News,3990000,8736,50,60,en,112,Cybersecurity for Critical Infrastructure,Canadas critical infrastructure vulnerable cyberattacks report
3739,Critical Infrastructure Cybersecurity Updates – October 2023,CIP Cyber,92200,585,14,1,en,241,Cybersecurity for Critical Infrastructure,Critical Infrastructure Cybersecurity Updates  October 2023
3740,CyberSecurity Definitions | Critical Infrastructure,Relative Security,3880,245,4,0,en,39,Cybersecurity for Critical Infrastructure,CyberSecurity Definitions  Critical Infrastructure
3741,A Realist’s Approach to Critical Infrastructure Protection,Wesco,422,5943,44,0,Unknown,145,Cybersecurity for Critical Infrastructure,Realists Approach Critical Infrastructure Protection
3742,Key Security Roles for Critical Infrastructure #shorts,Cyber Crime Junkies Podcast ,1910,1171,0,2,en,60,Cybersecurity for Critical Infrastructure,Key Security Roles Critical Infrastructure shorts
3743,OPSWAT Academy - Critical Infrastructure Protection Certification Program for Cybersecurity,OPSWAT,1940,102944,42,7,en,130,Cybersecurity for Critical Infrastructure,OPSWAT Academy  Critical Infrastructure Protection Certification Program Cybersecurity
3744,Critical Infrastructure Protection - The Basics,Kontek Industries,1400,2340,27,1,Unknown,111,Cybersecurity for Critical Infrastructure,Critical Infrastructure Protection  Basics
3745,Protecting Critical Infrastructure,University of Fairfax,598,2201,29,0,Unknown,3720,Cybersecurity for Critical Infrastructure,Protecting Critical Infrastructure
3746,CISA - Protecting Our Nation's Critical Infrastructure,CISA,17300,2514,18,0,en,66,Cybersecurity for Critical Infrastructure,CISA  Protecting Nations Critical Infrastructure
3747,Tempered Airwall for Critical Infrastructure Cybersecurity,Tempered Networks,219,203,3,0,en,178,Cybersecurity for Critical Infrastructure,Tempered Airwall Critical Infrastructure Cybersecurity
3748,Cyber-attacks hit Australia’s critical infrastructure every 32 minutes,Sky News Australia,3840000,4613,139,79,en,23,Cybersecurity for Critical Infrastructure,Cyberattacks hit Australias critical infrastructure 32 minutes
3749,What is Critical Infrastructure?,Archer,1020,1136,19,1,en,213,Cybersecurity for Critical Infrastructure,Critical Infrastructure
3750,"Morning Visualization for a Successful & Productive Day,  Guided Meditation",Great Meditation,1020000,191977,5177,134,en,607,Mindfulness and Meditation for Productivity,Morning Visualization Successful  Productive Day Guided Meditation
3751,5 Minute Meditation to Increase Productivity,Great Meditation,1020000,135532,4909,137,en,317,Mindfulness and Meditation for Productivity,5 Minute Meditation Increase Productivity
3752,Increase Your Productivity by Mastering Singular Focus and Mindful Meditation | Emma Seppälä,Big Think,6390000,96155,2821,127,en,214,Mindfulness and Meditation for Productivity,Increase Productivity Mastering Singular Focus Mindful Meditation  Emma Seppl
3753,"Guided Meditation to Boost Creativity, Enhance Focus, And Increase Productivity",The Mindful Movement,799000,106944,2598,66,en,972,Mindfulness and Meditation for Productivity,Guided Meditation Boost Creativity Enhance Focus Increase Productivity
3754,15 Minute Guided Meditation for Focus,Declutter The Mind,119000,178322,5119,179,en,938,Mindfulness and Meditation for Productivity,15 Minute Guided Meditation Focus
3755,Guided Morning Meditation for Productivity & Positivity,My Peace Of Mindfulness,78100,3287,148,19,en,570,Mindfulness and Meditation for Productivity,Guided Morning Meditation Productivity  Positivity
3756,10 Minute Guided Meditation for Focus,Declutter The Mind,119000,1109486,37587,1058,en,641,Mindfulness and Meditation for Productivity,10 Minute Guided Meditation Focus
3757,Mindfulness Guided Meditation for Focus,Great Meditation,1020000,121521,4344,116,en,613,Mindfulness and Meditation for Productivity,Mindfulness Guided Meditation Focus
3758,If you can't sleep at a decent time? Try this video with natural sounds of rain and thunder,Into The Rain Natural Sounds,1190,65,6,4,en,14415,Mindfulness and Meditation for Productivity,cant sleep decent time Try video natural sounds rain thunder
3759,What Are The Benefits of Mindfulness Breathing Meditation?,Improvement Pill,3510000,116140,9122,27,en,59,Mindfulness and Meditation for Productivity,Benefits Mindfulness Breathing Meditation
3760,Guided Mindfulness Meditation on Presence and Focus - 5 Minutes,MindfulPeace,179000,82612,1700,38,en,336,Mindfulness and Meditation for Productivity,Guided Mindfulness Meditation Presence Focus  5 Minutes
3761,25 Minute Morning Meditation to support Positive Change | Mindful Movement,The Mindful Movement,799000,260002,4215,105,en,1511,Mindfulness and Meditation for Productivity,25 Minute Morning Meditation support Positive Change  Mindful Movement
3762,Mindfulness at work: a superpower to boost productivity and wellbeing | Shanel Munger | TEDxPretoria,TEDx Talks,39800000,5030,91,5,en,756,Mindfulness and Meditation for Productivity,Mindfulness work superpower boost productivity wellbeing  Shanel Munger  TEDxPretoria
3763,BEGINNER'S GUIDE TO MEDITATION » for a positive & productive day (part 1),Pick Up Limes,4150000,3057754,71305,1714,en,419,Mindfulness and Meditation for Productivity,BEGINNERS GUIDE MEDITATION  positive  productive day part 1
3764,Productive Morning Guided Meditation ~ Become Focused and Create the Perfect Day,Great Meditation,1020000,292552,7458,234,en,609,Mindfulness and Meditation for Productivity,Productive Morning Guided Meditation  Focused Create Perfect Day
3765,10-Minute Meditation To Start Your Day,Goodful,1580000,3236094,59875,968,en,618,Mindfulness and Meditation for Productivity,10Minute Meditation Start Day
3766,30 Minute Guided Meditation for Mindfulness,Declutter The Mind,119000,429684,6509,432,en,1828,Mindfulness and Meditation for Productivity,30 Minute Guided Meditation Mindfulness
3767,Never Give Up! A Guided Mindfulness Meditation for Motivation (14 Minutes),MindfulPeace,179000,47869,1001,56,en,841,Mindfulness and Meditation for Productivity,Up Guided Mindfulness Meditation Motivation 14 Minutes
3768,Ten Minute Mindfulness  Guided Meditation for Focus,Great Meditation,1020000,111712,3515,122,en,649,Mindfulness and Meditation for Productivity,Minute Mindfulness Guided Meditation Focus
3769,"""GET THINGS DONE"" - Guided Meditation to Stop Procrastination",The Honest Guys - Meditations - Relaxation,1220000,213805,3866,203,en,728,Mindfulness and Meditation for Productivity,GET THINGS DONE  Guided Meditation Stop Procrastination
3770,Guided Mindfulness Meditation: Being the Boundless - Become Your Best Self (15 minutes),MindfulPeace,179000,956894,16358,383,en,901,Mindfulness and Meditation for Productivity,Guided Mindfulness Meditation Boundless  Best Self 15 minutes
3771,"5 Minute Guided Morning Mindfulness Meditation - Focused, Calm, and Centered",MindfulPeace,179000,1420929,28276,439,Unknown,335,Mindfulness and Meditation for Productivity,5 Minute Guided Morning Mindfulness Meditation  Focused Calm Centered
3772,All it takes is 10 mindful minutes | Andy Puddicombe | TED,TED,23800000,4952530,86141,1839,Unknown,565,Mindfulness and Meditation for Productivity,takes 10 mindful minutes  Andy Puddicombe  TED
3773,10 Minute Guided Meditation for Focus / Mindful Movement,The Mindful Movement,799000,1194536,31706,1111,Unknown,668,Mindfulness and Meditation for Productivity,10 Minute Guided Meditation Focus  Mindful Movement
3774,Daily Calm | 10 Minute Mindfulness Meditation | Be Present,Calm,926000,21662626,251405,5034,en,630,Mindfulness and Meditation for Productivity,Daily Calm  10 Minute Mindfulness Meditation  Present
3775,5 minute meditation for focus,Great Meditation,1020000,1520731,46117,1174,en,306,Mindfulness and Meditation for Productivity,5 minute meditation focus
3776,3-minute mindfulness meditation for clarity - Flow,Flow Neuroscience,5200,303082,2840,48,en,209,Mindfulness and Meditation for Productivity,3minute mindfulness meditation clarity  Flow
3777,Mastering Mindfulness for Peak Productivity in 2023: Your Complete Guide | Ankur Warikoo Hindi,warikoo,3410000,111295,5370,157,hi,985,Mindfulness and Meditation for Productivity,Mastering Mindfulness Peak Productivity 2023 Complete Guide  Ankur Warikoo Hindi
3778,Guided Mindfulness Meditation - You Got This! - Motivational Session,MindfulPeace,179000,60128,1165,66,en,962,Mindfulness and Meditation for Productivity,Guided Mindfulness Meditation  Got This  Motivational Session
3779,"10 Minute Guided Meditation for Focused Attention and Concentration (No Music, Voice Only)",Declutter The Mind,119000,292944,6917,139,en,618,Mindfulness and Meditation for Productivity,10 Minute Guided Meditation Focused Attention Concentration No Music Voice Only
3780,Daily Calm | 10 Minute Mindfulness Meditation | Present,Calm,926000,1561450,20430,293,en,630,Mindfulness and Meditation for Productivity,Daily Calm  10 Minute Mindfulness Meditation  Present
3781,5 Minute Meditation for Increasing Focus & Clarity (guided visualisation),Great Meditation,1020000,130518,3759,113,en,331,Mindfulness and Meditation for Productivity,5 Minute Meditation Increasing Focus  Clarity guided visualisation
3782,BEGINNER'S GUIDE TO MEDITATION » for a positive & productive day (part 3),Pick Up Limes,4150000,582152,20479,586,en,314,Mindfulness and Meditation for Productivity,BEGINNERS GUIDE MEDITATION  positive  productive day part 3
3783,Daily Guided Meditation (A Great Mindfulness Practice to Use Every Day),Declutter The Mind,119000,14798,608,15,en,922,Mindfulness and Meditation for Productivity,Daily Guided Meditation A Great Mindfulness Practice Use Day
3784,Guided Morning Meditation | 10 Minutes To Start Every Day Perfectly ☮,Boho Beautiful Yoga,2840000,8496355,134667,3323,en,635,Mindfulness and Meditation for Productivity,Guided Morning Meditation  10 Minutes Start Day Perfectly 
3785,6 Minute Midday Recharge - Guided Meditation - Stress and anxiety reset,MindfulPeace,179000,177916,3596,85,Unknown,359,Mindfulness and Meditation for Productivity,6 Minute Midday Recharge  Guided Meditation  Stress anxiety reset
3786,Sleep Meditation for New Beginnings and Habit Change | Deep Sleep | Mindful Movement,The Mindful Movement,799000,1627390,10630,252,en,7337,Mindfulness and Meditation for Productivity,Sleep Meditation New Beginnings Habit Change  Deep Sleep  Mindful Movement
3787,Morning Meditation for Abundance and Gratitude | Mindful Movement,The Mindful Movement,799000,439671,8260,251,en,788,Mindfulness and Meditation for Productivity,Morning Meditation Abundance Gratitude  Mindful Movement
3788,Focus on Your Goals (Guided Meditation) to Accelerate your Achievements,Great Meditation,1020000,128331,5146,160,en,626,Mindfulness and Meditation for Productivity,Focus Goals Guided Meditation Accelerate Achievements
3789,Clear Your Mind in the Morning - A Guided Mindfulness Meditation (8 minutes),MindfulPeace,179000,447773,7797,139,en,482,Mindfulness and Meditation for Productivity,Clear Mind Morning  Guided Mindfulness Meditation 8 minutes
3790,3-Minute Mindfulness of Breath Meditation,Self-Help Toons,57000,3131,16,1,Unknown,219,Mindfulness and Meditation for Productivity,3Minute Mindfulness Breath Meditation
3791,Mental Reset in 5 Minutes - Guided Mindfulness Meditation - Calm Anxiety and Stress,MindfulPeace,179000,995802,19986,326,en,312,Mindfulness and Meditation for Productivity,Mental Reset 5 Minutes  Guided Mindfulness Meditation  Calm Anxiety Stress
3792,Develop Motivation and Confidence: A Relaxing and Inspiring Hypnosis Practice,The Mindful Movement,799000,438705,5292,280,Unknown,2265,Mindfulness and Meditation for Productivity,Develop Motivation Confidence Relaxing Inspiring Hypnosis Practice
3793,Meditation! Does it Actually Work for People with ADHD?,How to ADHD,1620000,229479,12672,1644,en,974,Mindfulness and Meditation for Productivity,Meditation Actually Work People ADHD
3794,Mindfulness at Work - How to be Mindful at Work Tips,Adriana Girdler,169000,29479,639,88,en,460,Mindfulness and Meditation for Productivity,Mindfulness Work  Mindful Work Tips
3795,Boost Your Energy 10 Minute Guided Meditation,Great Meditation,1020000,268233,7571,261,en,641,Mindfulness and Meditation for Productivity,Boost Energy 10 Minute Guided Meditation
3796,10-Minute Guided Meditation for Mindfulness and Productivity,👁 Inner Focus 👁 ,7,178,3,3,en,606,Mindfulness and Meditation for Productivity,10Minute Guided Meditation Mindfulness Productivity
3797,Mindfulness In The Workplace: Improving Your Productivity With Sleep & Meditation With Tamara Levitt,Amy Vetter,324,106,1,0,en,1587,Mindfulness and Meditation for Productivity,Mindfulness Workplace Improving Productivity Sleep  Meditation Tamara Levitt
3798,Mindfulness and Productivity,Sojourn Partners | Coaching & Leadership,48,81,0,0,Unknown,98,Mindfulness and Meditation for Productivity,Mindfulness Productivity
3799,5 Minute Guided Morning Meditation for Positive Energy ☀️,Lavendaire,2230000,5628367,139108,2693,en,332,Mindfulness and Meditation for Productivity,5 Minute Guided Morning Meditation Positive Energy 
3800,4 Tips To IMPROVE Your Public Speaking - How to CAPTIVATE an Audience,Motivation2Study,4270000,3346605,63526,681,en,777,Public Speaking and Storytelling for Impact,4 Tips IMPROVE Public Speaking  CAPTIVATE Audience
3801,The public speaking lesson you never had | DK . | TEDxNelson,TEDx Talks,39800000,473292,8610,186,en,1155,Public Speaking and Storytelling for Impact,public speaking lesson  DK   TEDxNelson
3802,How to Tell a Story When Public Speaking,Communication Coach Alexander Lyon,557000,31067,759,37,en,665,Public Speaking and Storytelling for Impact,Tell Story Public Speaking
3803,4 essential body language tips from a world champion public speaker,Business Insider,8670000,2942912,47088,601,en,148,Public Speaking and Storytelling for Impact,4 essential body language tips world champion public speaker
3804,The magical science of storytelling | David JP Phillips | TEDxStockholm,TEDx Talks,39800000,4970628,117327,1685,en,1005,Public Speaking and Storytelling for Impact,magical science storytelling  David JP Phillips  TEDxStockholm
3805,We can help you master public speaking - Chris Anderson,TED-Ed,19400000,340865,13265,387,en,270,Public Speaking and Storytelling for Impact,help master public speaking  Chris Anderson
3806,How to Start a Speech: The Best (and Worst) Speech Openers,Science of People,884000,2742845,56589,1143,en,420,Public Speaking and Storytelling for Impact,Start Speech Best and Worst Speech Openers
3807,6 Public Speaking Tips To Get A Standing Ovation,Charisma on Command,6500000,5484837,83141,1296,en,565,Public Speaking and Storytelling for Impact,6 Public Speaking Tips Standing Ovation
3808,3 Principles To Master Storytelling,Charisma on Command,6500000,1382215,41482,990,en,871,Public Speaking and Storytelling for Impact,3 Principles Master Storytelling
3809,"19th Place Winner, 2017 National Public Speaking Competition, Jacinda Tsen, River Valley High School",Public Speaking Academy Pte Ltd,42800,390617,7155,119,Unknown,258,Public Speaking and Storytelling for Impact,19th Place Winner 2017 National Public Speaking Competition Jacinda Tsen River Valley High School
3810,How to Start a Speech,Conor Neill,331000,18754480,170899,5925,en,527,Public Speaking and Storytelling for Impact,Start Speech
3811,The power of storytelling | Andrea Gibbs | TEDxPerth,TEDx Talks,39800000,492186,8778,174,Unknown,756,Public Speaking and Storytelling for Impact,power storytelling  Andrea Gibbs  TEDxPerth
3812,Business Storytelling Made Easy | Kelly Parker | TEDxBalchStreet,TEDx Talks,39800000,104732,2562,58,en,769,Public Speaking and Storytelling for Impact,Business Storytelling Easy  Kelly Parker  TEDxBalchStreet
3813,Storytelling in Public Speaking (5 Steps),Kwesi Millington - Speaker & Coach,10000,112,2,0,Unknown,278,Public Speaking and Storytelling for Impact,Storytelling Public Speaking 5 Steps
3814,3 Benefits of Storytelling | Presentations and Public Speaking,Ethos3,1780,242,6,0,Unknown,339,Public Speaking and Storytelling for Impact,3 Benefits Storytelling  Presentations Public Speaking
3815,The Power of Telling Your Story | Dominic Colenso | TEDxVitoriaGasteiz,TEDx Talks,39800000,243566,2949,100,en,708,Public Speaking and Storytelling for Impact,Power Telling Story  Dominic Colenso  TEDxVitoriaGasteiz
3816,How to Tell Great Stories When Speaking to an Audience - Public Speaking!,Art of Influence with James Robbins,1800,71,2,0,Unknown,216,Public Speaking and Storytelling for Impact,Tell Great Stories Speaking Audience  Public Speaking
3817,The 110 techniques of communication and public speaking | David JP Phillips | TEDxZagreb,TEDx Talks,39800000,1975867,56781,801,en,1012,Public Speaking and Storytelling for Impact,110 techniques communication public speaking  David JP Phillips  TEDxZagreb
